host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,price,has_availability,review_scores_rating,instant_bookable,reviews_per_month
90%,94%,f,t,t,65,t,4.63,f,0.12
100%,100%,f,t,t,3458,t,4.93,t,0.23
100%,96%,f,t,f,179,t,4.33,f,1.14
100%,100%,f,t,t,145,t,4.91,f,0.89
100%,99%,f,t,t,256,t,4.6,t,0.47
100%,91%,t,t,t,139,t,4.98,t,0.78
100%,79%,t,t,t,200,t,5,f,0.04
100%,28%,f,t,t,300,t,5,f,0.03
100%,93%,t,t,t,195,t,4.9,f,0.24
100%,100%,f,t,t,1200,t,5,f,0.33
100%,79%,t,t,t,160,t,5,f,0.13
100%,100%,f,t,t,122,t,4.54,t,0.97
100%,98%,t,t,t,479,t,4,t,0.08
99%,86%,t,t,t,179,t,5,f,0.12
100%,55%,t,t,t,219,t,4.93,f,0.25
67%,0%,f,t,t,169,t,5,f,0.36
99%,96%,t,t,t,64,t,4.86,t,0.58
100%,100%,f,t,t,553,t,5,t,0.03
96%,65%,f,t,t,327,t,5,f,0.08
98%,99%,f,t,t,179,t,4.66,t,1.32
100%,100%,f,t,t,750,t,5,t,0.22
100%,100%,t,t,t,184,t,4.79,t,0.48
100%,78%,t,t,t,245,t,4.96,f,0.84
100%,55%,t,t,t,272,t,4.91,f,0.19
100%,94%,t,t,t,125,t,5,f,0.36
100%,100%,f,t,t,475,t,5,t,0.2
89%,99%,f,t,f,146,t,4.42,t,1.2
100%,100%,t,t,f,192,t,4.94,t,1.67
50%,100%,f,t,f,269,t,4.96,t,1.82
89%,99%,f,t,f,266,t,4.67,t,0.84
89%,99%,f,t,f,86,t,4.67,t,0.06
92%,18%,t,t,t,313,t,4,f,0.16
89%,99%,f,t,f,100,t,4.9,t,0.19
98%,99%,f,t,t,149,t,4.71,t,0.31
93%,89%,f,t,t,151,t,4.5,f,0.04
100%,97%,t,t,t,2157,t,5,t,0.1
100%,99%,f,t,t,900,t,4.7,t,0.4
100%,100%,t,t,f,156,t,5,f,2.31
100%,100%,t,t,t,161,t,4.91,t,3.17
100%,97%,t,t,t,396,t,5,t,0.17
93%,89%,f,t,t,133,t,4,f,0.06
100%,86%,f,t,t,90,t,4.52,f,0.37
100%,65%,f,t,t,696,t,5,f,0.09
100%,55%,t,t,t,233,t,5,f,0.18
100%,100%,f,t,t,238,t,3.88,t,0.44
100%,100%,f,t,t,317,t,4.75,t,0.89
96%,65%,f,t,t,236,t,5,f,0.22
98%,99%,f,t,t,159,t,4.43,t,0.73
100%,100%,t,t,t,129,t,4.81,f,7.54
100%,99%,f,t,t,226,t,4.86,t,0.53
91%,99%,f,t,t,139,t,4.83,f,6.66
100%,100%,f,t,t,181,t,4.6,t,2.06
100%,99%,f,t,t,276,t,5,t,0.02
100%,97%,t,t,t,412,t,5,t,0.08
100%,98%,t,t,t,1954,t,5,f,0.26
100%,86%,f,t,t,90,t,4.69,f,0.3
99%,51%,t,t,t,379,t,4.67,f,0.26
90%,100%,f,t,t,999,t,5,t,0.21
100%,63%,f,t,t,65,t,4.64,f,0.25
100%,90%,f,t,t,64,t,4.27,f,0.98
100%,98%,f,t,t,101,t,4.42,f,1.17
100%,99%,t,t,f,262,t,4.5,t,0.7
100%,100%,t,t,t,125,t,4.83,t,2.42
100%,99%,t,t,t,172,t,4.78,f,2.8
100%,69%,f,t,t,197,t,4.5,f,0.07
100%,100%,f,t,t,1615,t,4.67,t,0.25
100%,100%,f,t,t,190,t,4.7,t,0.8
100%,99%,t,t,t,341,t,4.76,t,0.75
100%,99%,f,t,t,119,t,4.67,t,0.84
90%,95%,f,t,t,94,t,4.63,t,0.22
100%,63%,f,t,t,80,t,4.68,f,0.67
100%,100%,f,t,t,364,t,4.8,t,0.06
100%,99%,f,t,t,446,t,4.6,f,0.11
100%,87%,t,t,t,664,t,5,f,0.02
86%,31%,f,t,f,654,t,5,f,0.24
100%,100%,f,t,t,1995,t,5,f,0.02
100%,98%,f,t,t,97,t,4.41,f,1.36
90%,100%,f,t,t,167,t,4.68,t,2.09
100%,99%,t,t,f,179,t,4.93,t,0.49
100%,100%,f,t,t,1341,t,5,t,0.09
100%,100%,t,t,t,290,t,4.95,t,2.55
100%,100%,t,t,t,81,t,5,t,0.2
100%,100%,t,t,t,216,t,4.83,t,1.19
100%,100%,f,t,t,79,t,5,t,0.06
99%,51%,t,t,t,199,t,4,f,0.12
100%,100%,f,t,t,227,t,5,t,0.25
100%,95%,t,t,t,117,t,4.85,f,10.62
98%,66%,f,t,t,197,t,4.73,f,1.65
100%,100%,f,t,t,199,t,5,t,0.09
100%,99%,t,t,f,249,t,5,t,0.17
100%,100%,t,t,t,265,t,4.84,f,3.19
98%,17%,f,t,t,243,t,5,f,0.09
100%,100%,f,t,f,275,t,5,f,0.1
100%,100%,f,t,t,111,t,4.7,f,3.5
100%,57%,t,t,t,1099,t,5,f,0.3
96%,65%,f,t,t,282,t,5,f,0.08
100%,81%,t,t,t,343,t,5,f,0.68
100%,57%,t,t,t,1075,t,5,f,0.24
100%,28%,f,t,t,1200,t,5,f,0.06
100%,100%,f,t,t,196,t,4,t,0.09
100%,99%,t,t,t,1591,t,4,t,0.06
99%,87%,t,t,t,199,t,4.87,f,4.98
100%,92%,f,t,t,140,t,5,f,0.37
100%,100%,t,t,t,395,t,5,t,1
100%,97%,t,t,t,295,t,4.92,t,0.2
100%,79%,t,t,t,211,t,4.93,f,0.87
100%,99%,f,t,t,681,t,4.82,t,0.42
100%,99%,f,t,t,1499,t,5,t,0.03
100%,99%,f,t,t,1649,t,5,t,0.02
100%,99%,f,t,t,1049,t,5,t,0.03
100%,100%,f,t,f,637,t,1,t,1
100%,99%,t,t,f,256,t,4.5,t,0.62
100%,100%,f,t,t,144,t,4.68,t,3.15
90%,71%,f,t,t,756,t,4,f,0.3
87%,32%,t,t,t,295,t,5,f,0.15
98%,68%,t,t,t,499,t,5,f,0.12
100%,95%,t,t,t,122,t,5,f,0.79
100%,100%,f,t,f,100,t,5,t,0.12
98%,68%,t,t,t,499,t,5,f,0.12
100%,100%,t,t,t,270,t,5,t,3.32
100%,100%,f,t,t,211,t,4.38,t,0.55
98%,68%,t,t,t,487,t,5,t,0.2
100%,81%,f,t,t,390,t,5,t,0.08
100%,100%,f,t,t,336,t,3.67,t,0.12
87%,32%,t,t,t,320,t,5,f,0.05
90%,95%,f,t,t,120,t,4.5,t,0.3
100%,89%,f,t,t,159,t,5,t,0.14
100%,94%,f,t,t,115,t,3,t,0.28
96%,65%,f,t,t,239,t,4.33,f,0.67
100%,99%,f,t,t,90,t,4.75,t,3.05
100%,100%,t,t,t,310,t,5,t,0.19
98%,17%,f,t,t,210,t,3,f,0.15
100%,98%,t,t,t,389,t,4.92,t,0.58
100%,100%,f,t,t,168,t,5,t,1.32
96%,55%,t,t,t,295,t,5,f,0.18
98%,15%,f,t,t,163,t,5,f,0.28
99%,97%,f,t,t,282,t,5,t,0.6
100%,91%,t,t,t,398,t,5,f,0.33
100%,100%,t,t,t,164,t,5,t,1
87%,80%,f,t,f,100,t,4,f,0.16
98%,99%,f,t,t,199,t,5,t,0.62
100%,99%,t,t,t,425,t,4.95,t,0.82
96%,100%,f,t,t,446,t,5,t,0.12
99%,90%,f,t,t,80,t,4,f,0.1
75%,38%,f,t,f,838,t,4.93,f,0.53
97%,94%,f,t,t,773,t,4.79,t,1.73
100%,97%,t,t,t,1369,t,5,t,0.08
87%,32%,t,t,t,217,t,4.88,f,1.04
98%,99%,f,t,t,233,t,4.74,t,0.84
100%,100%,f,t,t,430,t,4.9,t,0.14
100%,99%,t,t,t,116,t,4.77,t,0.76
98%,17%,f,t,t,252,t,5,f,0.69
100%,99%,t,t,t,199,t,5,f,0.99
100%,99%,t,t,t,445,t,4.91,f,0.83
100%,100%,t,t,t,156,t,4.85,f,3.54
100%,99%,f,t,t,233,t,4.64,t,0.32
